,ticker,max_price,min_price,difference,first_level,second_level,third_level,fourth_level,fifth_level
0,ICICIBANK.NS,954.299988,259.25,695.049988,790.268190832,688.790892584,606.774994,524.759095416,407.99069743199993
1,NESTLEIND.NS,22050.0,6969.649902,15080.350097999999,18491.037376872002,16289.306262564001,14509.824951,12730.343639436001,10196.844822972
2,APOLLOHOSP.NS,5733.950195,927.099976,4806.850219,4599.533543316001,3897.733411342,3330.5250855000004,2763.3167596580006,1955.7659228660004
3,WIPRO.NS,721.5,162.350006,559.149994,589.5406014160001,507.904702292,441.925003,375.945303708,282.008104716
4,CIPLA.NS,1173.400024,374.700012,798.700012,984.9068211680001,868.296619416,774.050018,679.803416584,545.621814568
5,TECHM.NS,1806.099976,487.200012,1318.899964,1494.839584496,1302.2801897519998,1146.6499939999999,991.019798248,769.4446042959999
6,BHARTIARTL.NS,851.200012,262.002197,589.197815,712.14932766,626.12644667,556.6011045,487.07576233000003,388.09052941
7,HDFCLIFE.NS,759.0,342.299988,416.700012,660.658797168,599.8205954160001,550.649994,501.479392584,431.47379056799997
8,TCS.NS,4019.149902,1315.599976,2703.549926,3381.112119464,2986.393830268,2667.3749390000003,2348.3560477319998,1894.159660164
9,BAJFINANCE.NS,7929.299805,1596.449951,6332.849854,6434.747239456,5510.1511607719995,4762.874878,4015.598595228,2951.6798197559992
10,LT.NS,2384.449951,707.900024,1676.549927,1988.784168228,1744.007878886,1546.1749875,1348.342096114,1066.681708378
11,BAJAJ-AUTO.NS,4644.0,1935.550049,2708.449951,4004.805811564,3609.372118718,3289.7750244999997,2970.177930282,2515.1583385139998
12,ADANIENT.NS,4165.299805,67.402306,4097.897499,3198.195995236,2599.902960382,2116.3510555,1632.7991506179997,944.3523707859999
13,TATACONSUM.NS,882.099976,179.75,702.349976,716.345381664,613.802285168,530.924988,448.047690832,330.052894864
14,BRITANNIA.NS,4637.350098,2137.850098,2499.5,4047.468098,3682.5410979999997,3387.600098,3092.659098,2672.743098
15,BAJAJFINSV.NS,1907.655029,409.725006,1497.930023,1554.143543572,1335.445760214,1158.6900175,981.9342747860001,730.2820309220001
16,MARUTI.NS,9832.450195,4011.5,5820.950194999999,8458.70594898,7608.84722051,6921.9750975,6235.10297449,5257.1833417299995
17,RELIANCE.NS,2819.850098,874.411438,1945.4386599999998,2360.72657424,2076.6925298799997,1847.130768,1617.56900612,1290.7353112399999
18,KOTAKBANK.NS,2210.949951,999.950012,1210.999939,1925.153965396,1748.347974302,1605.4499815,1462.551988698,1259.103998946
19,TITAN.NS,2812.25,749.5,2062.75,2325.441,2024.2795,1780.875,1537.4705,1190.9285
20,NTPC.NS,181.800003,76.400002,105.400001,156.92560276400002,141.537202618,129.10000250000002,116.66280238200001,98.955602214
21,ULTRACEMCO.NS,8214.049805,3018.100098,5195.949707000001,6987.805674148,6229.197016926,5616.074951500001,5002.952886074,4130.033335298
22,HEROMOTOCO.NS,3803.149902,1553.5,2249.649902,3272.232525128,2943.783639436,2678.324951,2412.866262564,2034.925079028
23,ITC.NS,449.899994,147.25,302.649994,378.474595416,334.28769629199996,298.574997,262.862297708,212.017098716
24,INDUSINDBK.NS,2023.050049,301.299988,1721.750061,1616.717034604,1365.341525698,1162.1750185,959.008511302,669.754501054
25,TATASTEEL.NS,151.940002,25.375,126.56500199999999,122.07066152799999,103.59217123599998,88.657501,73.722830764,52.459910428
26,HINDALCO.NS,631.299988,87.900002,543.399986,503.05759130399997,423.721193348,359.599995,295.47879665199997,204.18759900399994
27,ONGC.NS,210.850006,60.0,150.850006,175.24940458400002,153.225303708,135.425003,117.62470229200001,92.281901284
28,COALINDIA.NS,314.049988,110.550003,203.49998499999998,266.02399154,236.31299373,212.2999955,188.28699727,154.09899979
29,M&M.NS,1388.0,269.0,1119.0,1123.916,960.5419999999999,828.5,696.458,508.466
